	score	l_child_score	r_child_score	phrase_length	pred_score	pred_phrase_length
9715	2	2	2	3	2	3
9716	2	2	2	1	2	1
9717	1	1	2	14	3	14
9718	1	2	1	2	1	2
9719	2	2	2	14	2	14
9720	2	2	2	2	2	2
9721	1	2	2	7	3	7
9722	2	2	2	6	3	6
9723	1	0	3	1	1	1
9724	2	2	2	13	2	13
9725	2	2	2	1	2	1
9726	2	2	1	6	2	6
9727	2	2	2	5	2	5
9728	2	2	1	12	2	12
9729	1	2	1	5	2	5
9730	2	1	2	4	2	4
9731	2	2	2	2	2	2
9732	1	2	2	9	2	9
9733	1	2	2	4	2	4
9734	1	2	1	2	3	2
9735	2	2	2	1	2	1
9736	2	2	3	1	2	1
9737	2	2	2	8	2	8
9738	2	2	2	3	2	3
9739	1	1	2	1	1	1
9740	2	2	2	1	2	1
9741	2	2	2	6	2	6
9742	2	2	2	2	2	2
9743	2	2	2	5	2	5
9744	2	2	2	1	2	1
9745	2	2	2	4	2	4
9746	2	2	2	3	2	3
9747	2	2	3	2	2	2
9748	3	1	2	1	2	1
9749	4	4	2	19	3	19
9750	4	2	3	18	3	18
9751	2	3	2	8	3	8
9752	3	2	3	9	2	9
9753	3	3	2	7	3	7
9754	3	2	4	8	2	8
9755	3	2	2	6	3	6
9756	4	2	3	7	2	7
9757	2	2	2	2	2	2
9758	2	2	2	3	3	3
9759	3	3	2	6	2	6
9760	2	1	2	1	2	1
9761	2	2	2	1	2	1
9762	2	2	1	1	3	1
9763	2	2	2	5	2	5
9764	2	2	2	4	2	4
9765	2	2	2	1	2	1
9766	2	2	2	2	2	2
9767	2	2	2	1	2	1
9768	2	3	2	22	1	22
9769	3	2	2	21	1	21
9770	2	1	2	9	2	9
9771	2	2	3	11	1	11
9772	1	0	2	8	1	8
9773	2	2	2	3	2	3
9774	3	2	3	7	1	7
9775	0	2	2	7	1	7
9776	2	2	2	2	2	2
9777	3	2	3	6	1	6
9778	2	2	3	6	2	6
9779	2	2	2	1	2	1
9780	3	2	0	5	1	5
9781	3	2	2	5	2	5
9782	2	2	2	2	2	2
9783	0	2	0	2	1	2
9784	2	2	2	4	2	4
9785	2	2	1	1	2	1
9786	0	0	2	1	0	1
9787	2	2	2	3	2	3
9788	2	2	2	2	2	2
9789	2	2	2	1	2	1
9790	4	4	3	19	4	19
9791	4	4	3	17	4	17
9792	3	4	2	1	2	1
9793	4	2	3	4	3	4
9794	3	2	4	12	3	12
9795	3	3	3	3	3	3
9796	4	3	3	11	3	11
9797	3	2	4	2	3	2
9798	3	2	3	3	3	3
9799	3	2	4	7	3	7
9800	4	3	2	1	3	1
9801	3	2	3	2	3	2
9802	4	3	2	6	3	6
9803	3	3	3	1	2	1
9804	3	3	2	5	3	5
9805	3	2	3	3	3	3
9806	2	2	3	1	2	1
9807	3	4	2	2	3	2
9808	4	2	4	1	3	1
9809	3	2	2	7	3	7
9810	2	2	2	6	3	6
9811	2	2	3	4	3	4
9812	2	2	1	1	2	1
9813	3	1	3	3	3	3
9814	3	2	3	2	3	2
9815	3	2	2	1	2	1
9816	3	2	3	30	1	30
9817	2	3	2	2	2	2
9818	3	4	2	27	1	27
9819	2	2	2	1	2	1
9820	4	2	4	26	1	26
9821	4	2	3	25	1	25
9822	2	2	2	1	2	1
9823	3	2	4	23	1	23
9824	4	2	4	22	1	22
9825	4	3	2	21	1	21
9826	3	2	2	13	2	13
9827	2	2	2	7	1	7
9828	2	3	2	12	2	12
9829	2	2	2	6	1	6
9830	3	2	2	11	2	11
9831	2	2	2	5	2	5
9832	2	2	2	10	2	10
9833	2	1	1	4	2	4
9834	2	2	2	9	2	9
9835	1	2	1	2	2	2
9836	1	2	1	1	1	1
9837	2	3	2	8	2	8
9838	1	2	1	1	1	1
9839	3	2	2	2	2	2
9840	2	2	2	5	2	5
9841	2	2	2	1	2	1
9842	2	2	1	4	2	4
9843	1	1	2	3	2	3
9844	1	2	2	1	1	1
9845	2	2	2	1	2	1
9846	3	2	3	30	3	30
9847	2	2	2	1	2	1
9848	3	4	2	28	3	28
9849	4	2	4	27	3	27
9850	4	4	3	26	3	26
9851	4	3	3	3	4	3
9852	3	2	3	22	1	22
9853	3	2	3	2	3	2
9854	3	1	2	21	1	21
9855	3	4	2	1	4	1
9856	2	1	3	20	1	20
9857	3	1	2	19	1	19
9858	1	2	1	1	1	1
9859	2	2	2	17	1	17
9860	2	2	2	1	2	1
9861	2	2	2	15	1	15
9862	2	2	2	14	1	14
9863	2	3	3	13	2	13
9864	3	2	3	12	1	12
9865	3	2	2	11	3	11
9866	2	2	3	10	2	10
9867	3	2	2	9	1	9
9868	2	2	3	8	1	8
9869	3	2	3	7	1	7
9870	3	2	3	6	1	6
9871	3	3	2	5	1	5
9872	3	3	4	1	3	1
9873	2	2	3	3	2	3
9874	3	2	3	2	2	2
9875	3	4	2	1	3	1
9876	3	2	4	21	3	21
9877	4	2	3	20	3	20
9878	3	2	3	19	3	19
9879	3	3	2	18	3	18
9880	3	2	3	11	3	11
9881	2	4	2	6	3	6
9882	2	3	3	1	2	1
9883	3	2	3	9	2	9
9884	4	3	2	5	3	5
9885	3	2	3	8	3	8
9886	3	3	2	4	3	4
9887	3	2	2	7	3	7
9888	2	2	2	3	3	3
9889	2	2	3	6	3	6
9890	2	2	3	2	3	2
9891	3	2	2	5	3	5
9892	3	3	2	1	3	1
9893	2	2	3	4	3	4
9894	2	2	2	2	2	2
9895	3	3	3	1	3	1
9896	2	2	2	1	2	1
9897	3	2	3	32	1	32
9898	3	3	4	31	1	31
9899	3	2	3	10	1	10
9900	4	2	3	20	1	20
9901	2	1	2	2	1	2
9902	3	3	2	7	2	7
9903	3	3	3	19	3	19
9904	1	2	1	1	2	1
9905	3	4	3	3	3	3
9906	2	1	2	3	2	3
9907	3	2	3	8	1	8
9908	3	2	2	10	3	10
9909	4	4	2	2	2	2
9910	2	2	2	2	2	2
9911	3	3	2	7	2	7
9912	2	3	2	9	3	9
9913	4	4	2	1	2	1
9914	2	2	2	1	2	1
9915	3	3	2	4	2	4
9916	2	2	2	2	2	2
9917	3	3	3	8	3	8
9918	3	2	3	3	2	3
9919	2	2	2	1	2	1
9920	3	2	2	7	2	7
9921	2	2	2	2	2	2
9922	2	2	4	6	3	6
9923	2	2	2	1	2	1
9924	2	2	2	2	2	2
9925	4	2	3	3	3	3
9926	2	2	2	1	2	1
9927	3	2	2	2	3	2
9928	2	3	3	1	3	1
9929	3	2	4	4	4	4
9930	4	4	2	3	4	3
9931	2	2	2	2	3	2
9932	2	3	2	1	2	1
9933	2	2	2	7	2	7
9934	2	2	2	6	2	6
9935	2	2	2	5	2	5
9936	2	2	2	4	2	4
9937	2	2	2	1	2	1
9938	2	2	2	2	2	2
9939	2	2	2	1	2	1
9940	4	3	3	18	3	18
9941	3	4	4	17	4	17
9942	4	3	2	7	3	7
9943	4	2	3	9	3	9
9944	3	4	2	6	3	6
9945	3	3	3	8	3	8
9946	4	2	4	5	3	5
9947	3	2	2	6	3	6
9948	3	2	2	1	3	1
9949	4	2	3	4	3	4
9950	2	2	3	5	2	5
9951	3	2	3	3	3	3
9952	3	2	2	4	2	4
9953	3	2	3	2	3	2
9954	2	2	2	3	2	3
9955	3	3	3	1	2	1
9956	2	2	2	2	2	2
9957	2	2	2	1	3	1
9958	4	3	2	31	1	31
9959	3	2	3	30	1	30
9960	2	3	2	26	2	26
9961	3	2	3	3	2	3
9962	3	2	2	25	1	25
9963	2	2	2	1	2	1
9964	3	2	3	1	2	1
9965	2	2	2	24	1	24
9966	2	2	2	7	1	7
9967	2	2	2	16	2	16
9968	2	3	1	6	2	6
9969	2	2	2	8	2	8
9970	2	2	2	7	2	7
9971	3	2	2	2	2	2
9972	1	2	2	3	2	3
9973	2	3	2	7	2	7
9974	2	3	2	2	2	2
9975	2	2	2	4	2	4
9976	2	2	2	1	2	1
9977	2	2	1	2	2	2
9978	3	2	2	6	2	6
9979	3	2	2	1	2	1
9980	2	3	2	3	2	3
9981	2	2	2	1	2	1
9982	2	2	2	2	2	2
9983	2	2	3	3	2	3
9984	3	2	2	1	2	1
9985	2	2	3	1	2	1
9986	2	2	2	1	2	1
9987	3	2	2	2	2	2
9988	2	2	2	1	2	1
9989	3	3	2	24	1	24
9990	3	3	2	23	1	23
9991	3	2	2	5	3	5
9992	2	2	2	17	1	17
9993	2	3	2	4	3	4
9994	2	2	2	1	2	1
9995	2	2	4	15	1	15
9996	3	2	2	3	3	3
9997	4	2	3	14	1	14
9998	2	2	2	2	3	2
9999	3	2	2	13	1	13
10000	2	2	3	1	2	1
10001	2	2	2	12	1	12
10002	2	2	2	7	2	7
10003	2	2	2	4	1	4
10004	2	3	2	6	2	6
10005	2	2	2	3	1	3
10006	3	2	2	5	2	5
10007	2	2	2	2	1	2
10008	2	2	2	1	2	1
10009	2	2	2	3	2	3
10010	2	2	2	1	1	1
10011	2	2	2	2	2	2
10012	2	2	3	1	3	1
10013	3	3	3	11	4	11
10014	3	3	2	10	3	10
10015	3	2	2	9	3	9
10016	2	2	3	8	3	8
10017	2	1	2	3	2	3
10018	3	2	3	4	3	4
10019	1	2	3	2	2	2
10020	2	2	3	1	2	1
10021	3	2	3	2	3	2
10022	3	2	2	1	3	1
10023	3	2	4	1	3	1
10024	1	2	1	15	1	15
10025	1	2	2	14	1	14
10026	2	0	3	13	1	13
10027	0	2	1	6	1	6
10028	3	2	4	6	3	6
10029	1	1	1	5	1	5
10030	4	3	3	5	3	5
10031	1	2	2	4	2	4
10032	3	2	2	2	4	2
10033	3	2	3	2	2	2
10034	2	2	1	3	2	3
10035	2	2	3	1	2	1
10036	3	3	2	1	2	1
10037	1	2	0	2	2	2
10038	0	2	2	1	3	1
10039	3	4	2	17	1	17
10040	4	2	3	16	1	16
10041	2	2	3	5	1	5
10042	3	2	3	10	2	10
10043	2	2	2	2	1	2
10044	3	2	3	2	2	2
10045	3	1	4	9	3	9
10046	2	3	1	1	1	1
10047	3	3	2	1	2	1
10048	1	2	1	3	2	3
10049	4	2	3	5	3	5
10050	1	1	2	2	2	2
10051	2	3	2	2	3	2
10052	3	3	3	2	4	2
10053	2	2	2	1	2	1
10054	2	2	2	1	2	1
10055	3	2	2	1	3	1
10056	3	3	3	25	3	25
10057	3	2	3	15	2	15
10058	3	2	3	9	3	9
10059	3	2	4	14	3	14
10060	3	2	3	8	3	8
10061	2	2	2	2	2	2
10062	4	2	4	11	3	11
10063	3	3	2	7	3	7
10064	2	2	2	1	2	1
10065	4	2	4	10	3	10
10066	3	2	3	6	3	6
10067	4	4	2	9	3	9
10068	3	3	3	5	3	5
10069	4	4	1	8	3	8
10070	3	2	3	1	3	1
10071	3	2	2	3	2	3
10072	4	4	2	7	3	7
10073	2	2	2	2	2	2
10074	4	4	2	6	3	6
10075	2	2	2	1	2	1
10076	4	4	2	4	3	4
10077	2	2	2	1	2	1
10078	4	4	4	3	4	3
10079	4	3	3	2	4	2
10080	3	3	2	1	3	1
10081	3	3	3	16	3	16
10082	3	2	3	4	3	4
10083	3	2	2	11	3	11
10084	2	2	2	1	2	1
10085	3	3	2	2	3	2
10086	2	4	0	10	3	10
10087	2	4	2	1	2	1
10088	4	4	2	4	3	4
10089	0	2	1	5	2	5
10090	4	2	3	3	3	3
10091	1	2	2	4	2	4
10092	3	2	3	2	3	2
10093	2	2	2	1	2	1
10094	2	1	2	2	2	2
10095	3	3	3	1	3	1
10096	2	2	2	1	2	1
10097	4	3	2	7	3	7
10098	3	3	2	6	3	6
10099	3	2	3	3	3	3
10100	2	2	2	2	2	2
10101	3	3	1	2	3	2
10102	2	2	2	1	2	1
10103	1	1	3	1	2	1
10104	4	3	3	20	1	20
10105	3	3	2	19	1	19
10106	3	3	2	18	2	18
10107	3	3	2	7	2	7
10108	2	2	2	10	1	10
10109	3	4	3	6	2	6
10110	2	2	2	9	1	9
10111	4	2	2	2	3	2
10112	3	2	2	3	2	3
10113	2	2	1	8	2	8
10114	2	2	2	1	2	1
10115	2	2	2	2	2	2
10116	1	2	2	7	1	7
10117	2	3	1	1	3	1
10118	2	2	1	6	1	6
10119	1	2	0	5	1	5
10120	0	3	1	4	1	4
10121	1	2	2	3	1	3
10122	2	0	2	2	1	2
10123	0	2	1	1	1	1
10124	4	2	3	22	3	22
10125	3	4	2	21	3	21
10126	4	4	3	20	3	20
10127	4	4	2	2	3	2
10128	3	2	4	17	3	17
10129	2	2	2	1	2	1
10130	4	2	4	16	3	16
10131	4	3	4	15	3	15
10132	3	2	2	2	2	2
10133	4	2	4	12	3	12
10134	2	2	2	1	2	1
10135	4	2	3	11	3	11
10136	2	2	2	9	3	9
10137	3	2	1	1	3	1
10138	2	2	3	8	3	8
10139	3	2	2	7	3	7
10140	2	2	3	6	3	6
10141	3	2	3	5	3	5
10142	3	3	3	4	3	4
10143	3	2	3	2	3	2
10144	3	2	2	1	2	1
10145	3	4	2	1	3	1
10146	4	2	3	16	3	16
10147	2	2	2	6	2	6
10148	3	2	4	9	3	9
10149	2	2	2	5	2	5
10150	4	2	3	8	3	8
10151	2	2	2	1	2	1
10152	2	2	2	3	2	3
10153	2	3	2	1	2	1
10154	3	3	2	6	3	6
10155	2	2	2	2	2	2
10156	3	2	4	5	3	5
10157	2	2	2	1	2	1
10158	4	2	3	4	3	4
10159	3	3	2	3	3	3
10160	3	2	4	2	3	2
10161	2	2	2	1	2	1
10162	2	3	2	16	2	16
10163	3	2	2	15	2	15
10164	2	2	2	14	2	14
10165	2	2	2	13	2	13
10166	2	2	2	2	2	2
10167	2	2	2	10	2	10
10168	2	2	2	1	2	1
10169	2	3	2	9	2	9
10170	3	2	2	1	3	1
10171	2	2	2	7	2	7
10172	2	2	2	6	2	6
10173	2	2	2	5	2	5
10174	2	2	2	4	2	4
10175	2	2	2	3	3	3
10176	2	2	3	2	2	2
10177	3	2	2	1	3	1
10178	2	3	2	1	2	1
10179	4	2	3	15	3	15
10180	2	3	3	7	3	7
10181	3	3	2	7	3	7
10182	3	2	3	4	2	4
10183	3	2	2	2	2	2
10184	3	2	3	6	3	6
10185	2	2	2	2	2	2
10186	3	2	2	1	2	1
10187	2	3	2	1	3	1
10188	2	2	2	1	2	1
10189	3	2	3	4	3	4
10190	2	2	2	1	2	1
10191	3	4	2	3	3	3
10192	2	2	2	2	2	2
10193	2	2	3	1	2	1
10194	3	3	1	31	1	31
10195	3	2	2	14	3	14
10196	1	1	2	16	3	16
10197	2	1	2	13	2	13
10198	1	2	1	15	3	15
10199	2	1	2	12	3	12
10200	1	3	1	14	3	14
10201	2	2	3	11	3	11
10202	1	2	3	13	3	13
10203	2	2	2	1	2	1
10204	3	2	3	9	2	9
10205	3	2	3	12	2	12
10206	2	2	2	1	2	1
10207	3	2	3	7	2	7
10208	3	2	2	11	2	11
10209	2	2	2	1	2	1
10210	3	3	1	5	3	5
10211	2	3	2	10	2	10
10212	3	3	2	1	3	1
10213	1	2	2	3	2	3
10214	3	2	3	9	2	9
10215	2	2	1	2	2	2
10216	3	3	2	8	2	8
10217	1	2	1	1	2	1
10218	3	3	2	5	2	5
10219	2	2	2	2	2	2
10220	3	3	2	4	2	4
10221	2	2	2	1	3	1
10222	3	3	2	2	3	2
10223	2	2	2	1	1	1
10224	3	2	3	1	3	1
10225	3	2	4	10	3	10
10226	4	3	2	9	3	9
10227	3	2	3	8	4	8
10228	3	4	3	7	4	7
10229	3	2	2	6	3	6
10230	2	2	3	5	3	5
10231	2	2	2	2	2	2
10232	3	2	3	2	3	2
10233	2	2	2	1	2	1
10234	3	3	2	1	2	1
10235	3	2	3	11	3	11
10236	3	4	2	10	3	10
10237	4	2	3	9	3	9
10238	3	2	4	8	4	8
10239	4	3	4	7	4	7
10240	3	2	2	4	2	4
10241	4	2	4	2	4	2
10242	2	2	2	3	2	3
10243	4	3	2	1	4	1
10244	2	2	2	2	2	2
10245	2	2	2	1	2	1
10246	4	4	2	5	3	5
10247	4	4	2	4	3	4
10248	4	3	2	1	4	1
10249	2	2	2	2	2	2
10250	2	2	3	1	2	1
10251	1	1	2	25	1	25
10252	1	3	1	24	1	24
10253	3	2	2	10	2	10
10254	1	2	1	13	3	13
10255	2	3	2	9	2	9
10256	1	2	4	12	3	12
10257	3	2	3	8	2	8
10258	2	1	2	2	2	2
10259	4	3	2	9	4	9
10260	2	2	2	3	2	3
10261	3	2	3	4	2	4
10262	1	2	2	1	1	1
10263	2	3	2	8	4	8
10264	2	2	3	2	2	2
10265	3	2	3	3	2	3
10266	3	2	4	3	4	3
10267	2	2	2	4	3	4
10268	3	2	3	1	3	1
10269	2	2	2	1	2	1
10270	3	2	2	1	2	1
10271	4	2	4	2	4	2
10272	2	2	3	3	2	3
10273	2	3	1	1	3	1
10274	3	4	2	2	2	2
10275	2	2	2	1	2	1
10276	2	3	2	11	1	11
10277	3	1	2	7	2	7
10278	2	2	2	3	2	3
10279	1	2	2	2	2	2
10280	2	2	2	4	2	4
10281	2	2	2	2	2	2
10282	2	2	2	1	2	1
10283	2	2	3	3	2	3
10284	2	2	2	1	2	1
10285	3	2	2	2	2	2
10286	2	2	2	1	2	1
10287	2	1	2	13	1	13
10288	1	3	2	7	1	7
10289	2	2	2	5	1	5
10290	3	2	2	1	2	1
10291	2	2	2	5	1	5
10292	2	2	2	4	1	4
10293	2	2	2	4	1	4
10294	2	2	1	3	2	3
10295	2	2	2	3	2	3
10296	1	2	3	2	2	2
10297	2	2	1	2	1	2
10298	3	2	2	1	2	1
10299	1	2	2	1	1	1
10300	4	3	3	23	3	23
10301	3	3	3	13	2	13
10302	3	4	2	9	3	9
10303	3	2	3	2	2	2
10304	3	2	2	10	2	10
10305	4	3	3	8	3	8
10306	3	2	3	1	3	1
10307	2	2	2	9	2	9
10308	3	2	3	3	2	3
10309	3	3	4	4	3	4
10310	2	2	2	4	2	4
10311	2	3	2	4	2	4
10312	3	2	2	2	2	2
10313	3	2	2	3	2	3
10314	2	2	2	1	2	1
10315	2	2	2	2	2	2
10316	3	2	3	1	3	1
10317	2	2	2	2	2	2
10318	2	2	2	1	2	1
10319	2	2	2	2	2	2
10320	2	3	2	1	2	1
10321	2	2	2	1	2	1
10322	2	3	2	1	2	1
10323	3	4	3	20	3	20
10324	4	2	3	8	3	8
10325	3	2	4	11	3	11
10326	3	2	4	7	3	7
10327	4	2	3	10	3	10
10328	4	4	3	6	3	6
10329	2	2	2	1	2	1
10330	3	3	2	8	3	8
10331	4	3	2	5	3	5
10332	3	2	4	7	3	7
10333	3	2	3	4	3	4
10334	4	2	3	6	3	6
10335	2	2	2	1	2	1
10336	3	3	2	2	3	2
10337	2	2	2	1	2	1
10338	3	2	4	4	3	4
10339	3	3	2	1	3	1
10340	4	4	2	3	3	3
10341	2	2	2	2	2	2
10342	2	2	2	1	2	1
10343	3	2	4	12	3	12
10344	2	2	3	1	2	1
10345	4	4	2	10	3	10
10346	4	2	3	9	3	9
10347	3	3	2	8	3	8
10348	3	2	3	2	3	2
10349	2	2	3	5	3	5
10350	3	3	2	1	3	1
10351	3	3	3	4	3	4
10352	3	2	2	2	3	2
10353	3	3	2	1	2	1
10354	2	2	2	1	3	1
10355	3	2	3	23	3	23
10356	2	3	2	6	3	6
10357	3	2	3	16	1	16
10358	3	2	3	2	3	2
10359	2	2	2	3	3	3
10360	3	3	2	15	1	15
10361	3	3	2	1	3	1
10362	2	2	2	2	2	2
10363	3	2	2	14	1	14
10364	2	2	2	1	2	1
10365	2	3	2	12	2	12
10366	2	3	2	1	2	1
10367	3	2	2	11	2	11
10368	2	2	2	10	2	10
10369	2	2	2	9	1	9
10370	2	2	2	3	2	3
10371	2	2	2	5	1	5
10372	2	2	2	2	2	2
10373	2	2	2	3	2	3
10374	2	2	2	1	2	1
10375	2	2	2	1	2	1
10376	2	2	2	2	2	2
10377	2	3	2	1	2	1
10378	1	2	3	20	1	20
10379	2	2	2	2	2	2
10380	3	1	2	17	1	17
10381	2	2	2	1	2	1
10382	1	2	2	16	3	16
10383	2	2	2	1	2	1
10384	2	2	2	14	2	14
10385	2	3	1	5	2	5
10386	2	2	1	8	2	8
10387	1	2	2	4	1	4
10388	1	2	1	7	1	7
10389	2	2	2	2	2	2
10390	2	2	2	1	1	1
10391	2	2	2	2	2	2
10392	1	2	2	4	2	4
10393	2	2	2	1	2	1
10394	2	2	2	1	3	1
10395	2	2	1	3	2	3
10396	1	2	2	2	2	2
10397	2	2	1	1	2	1
10398	2	2	2	17	3	17
10399	2	2	2	16	3	16
10400	2	2	2	14	3	14
10401	2	2	2	1	2	1
10402	2	2	2	13	3	13
10403	2	2	2	9	3	9
10404	2	2	2	3	2	3
10405	2	2	2	8	3	8
10406	2	2	2	2	2	2
10407	2	2	2	7	2	7
10408	2	2	2	1	2	1
10409	2	2	2	6	3	6
10410	2	2	2	5	2	5
10411	2	2	2	2	3	2
10412	2	2	3	2	2	2
10413	2	2	2	1	2	1
10414	3	2	2	1	2	1
10415	2	2	2	1	2	1
10416	3	2	2	16	3	16
10417	2	3	3	15	3	15
10418	3	2	3	4	3	4
10419	3	2	3	10	1	10
10420	3	3	1	3	3	3
10421	3	2	2	9	1	9
10422	3	2	3	2	3	2
10423	2	3	4	8	1	8
10424	2	1	2	1	1	1
10425	3	2	2	4	2	4
10426	4	2	4	3	1	3
10427	2	3	2	3	2	3
10428	4	2	4	2	3	2
10429	2	2	2	2	2	2
10430	4	2	4	1	3	1
10431	2	2	2	1	2	1
10432	4	2	4	10	3	10
10433	4	4	2	9	3	9
10434	4	4	3	8	3	8
10435	4	3	2	4	3	4
10436	3	2	3	3	3	3
10437	3	3	2	3	3	3
10438	3	2	2	2	3	2
10439	2	2	2	2	2	2
10440	2	2	2	1	2	1
10441	2	2	3	1	2	1
10442	4	1	3	24	3	24
10443	1	2	4	10	3	10
10444	3	2	3	13	3	13
10445	2	2	2	1	2	1
10446	4	2	3	8	2	8
10447	3	2	4	12	3	12
10448	3	3	2	7	3	7
10449	4	3	2	11	4	11
10450	3	2	4	2	3	2
10451	2	2	2	4	2	4
10452	3	3	3	10	4	10
10453	4	2	3	1	4	1
10454	2	2	2	3	2	3
10455	3	3	3	1	3	1
10456	3	2	2	8	3	8
10457	2	2	2	1	2	1
10458	2	3	3	1	2	1
10459	2	2	4	2	3	2
10460	2	2	2	5	2	5
10461	2	2	2	1	2	1
10462	2	2	2	4	2	4
10463	2	2	2	3	2	3
10464	2	2	2	2	2	2
10465	2	1	2	1	2	1
10466	3	2	3	25	3	25
10467	2	3	2	5	3	5
10468	3	3	2	19	3	19
10469	3	2	4	2	3	2
10470	2	2	2	2	2	2
10471	3	2	3	18	3	18
10472	4	4	2	1	4	1
10473	2	2	2	1	2	1
10474	3	2	3	17	2	17
10475	3	2	3	16	3	16
10476	2	2	2	3	2	3
10477	3	2	2	12	2	12
10478	2	2	3	1	2	1
10479	2	1	2	1	2	1
10480	2	2	2	6	2	6
10481	2	3	2	5	3	5
10482	2	2	2	5	2	5
10483	3	2	2	3	3	3
10484	2	2	2	1	2	1
10485	2	2	2	4	2	4
10486	2	2	2	2	3	2
10487	2	2	2	3	2	3
10488	2	4	2	1	3	1
10489	2	2	2	1	2	1
10490	2	2	2	1	2	1
10491	3	1	3	21	3	21
10492	1	2	1	4	2	4
10493	3	2	3	16	3	16
10494	1	2	1	3	1	3
10495	3	2	2	15	2	15
10496	1	2	1	2	1	2
10497	2	2	3	5	2	5
10498	2	2	2	9	3	9
10499	1	0	2	1	1	1
10500	2	3	2	1	2	1
10501	3	2	3	3	2	3
10502	2	2	2	8	2	8
10503	3	2	2	2	3	2
10504	2	3	2	2	3	2
10505	2	2	2	5	2	5
10506	2	2	2	1	2	1
10507	3	2	2	1	3	1
10508	2	2	2	4	2	4
10509	2	2	2	2	2	2
10510	2	1	2	1	2	1
10511	2	2	2	1	2	1
10512	1	2	1	5	1	5
10513	1	2	2	4	1	4
10514	2	2	2	3	2	3
10515	2	4	1	2	2	2
10516	1	1	2	1	1	1
10517	3	2	3	7	3	7
10518	3	2	2	6	3	6
10519	2	3	2	4	2	4
10520	2	2	2	1	2	1
10521	3	2	2	3	2	3
10522	2	2	2	2	2	2
10523	2	2	2	1	3	1
10524	3	2	2	15	3	15
10525	2	2	2	1	2	1
10526	2	3	2	13	3	13
10527	2	2	2	12	3	12
10528	2	2	2	11	3	11
10529	2	2	2	4	2	4
10530	2	2	2	6	3	6
10531	2	2	2	3	2	3
10532	2	2	3	5	3	5
10533	2	2	2	1	2	1
10534	2	2	1	1	2	1
10535	3	2	2	4	3	4
10536	2	2	2	3	2	3
10537	2	2	2	2	2	2
10538	2	2	2	1	2	1
10539	3	3	3	25	3	25
10540	3	2	4	6	3	6
10541	3	2	3	18	3	18
10542	2	2	2	2	2	2
10543	4	2	3	3	4	3
10544	3	2	2	17	2	17
10545	2	2	2	1	2	1
10546	3	2	3	2	4	2
10547	2	2	3	9	3	9
10548	2	2	2	7	1	7
10549	3	3	3	1	3	1
10550	3	2	2	8	3	8
10551	2	2	2	6	2	6
10552	2	2	2	2	2	2
10553	2	2	3	5	3	5
10554	2	2	2	5	1	5
10555	2	2	2	1	1	1
10556	3	3	2	4	3	4
10557	2	2	2	4	2	4
10558	3	2	2	2	3	2
10559	2	2	3	1	2	1
10560	2	2	2	3	2	3
10561	2	2	2	1	2	1
10562	2	2	2	2	2	2
10563	2	2	2	1	2	1
10564	2	2	2	20	1	20
10565	2	2	2	19	1	19
10566	2	2	1	18	1	18
10567	2	2	2	1	2	1
10568	1	2	2	16	1	16
10569	2	2	2	6	1	6
10570	2	2	2	9	2	9
10571	2	2	2	5	1	5
10572	2	2	2	8	3	8
10573	2	2	2	4	1	4
10574	2	3	2	3	3	3
10575	2	2	2	4	2	4
10576	2	2	2	3	2	3
10577	2	2	2	2	3	2
10578	2	2	2	3	2	3
10579	2	3	2	2	1	2
10580	2	3	2	1	3	1
10581	2	2	2	2	2	2
10582	3	2	2	1	2	1
10583	2	2	2	1	2	1
10584	3	4	2	26	3	26
10585	4	3	3	25	3	25
10586	3	3	2	12	3	12
10587	3	2	3	12	3	12
10588	3	3	2	11	3	11
10589	3	2	2	11	3	11
10590	3	3	3	10	3	10
10591	2	2	2	10	2	10
10592	3	2	3	2	3	2
10593	3	2	3	7	2	7
10594	2	2	2	3	2	3
10595	2	3	2	6	2	6
10596	3	2	3	1	3	1
10597	3	2	2	6	2	6
10598	2	2	2	2	3	2
10599	3	2	2	3	2	3
10600	2	2	2	2	2	2
10601	2	2	2	5	2	5
10602	2	2	2	1	2	1
10603	2	2	2	2	2	2
10604	2	2	2	1	2	1
10605	2	3	2	4	2	4
10606	2	2	2	1	2	1
10607	3	2	2	1	3	1
10608	2	2	2	2	2	2
10609	2	1	2	1	2	1
10610	4	3	2	32	3	32
10611	3	1	4	31	3	31
10612	1	2	2	12	2	12
10613	4	2	4	18	3	18
10614	2	1	2	11	2	11
10615	4	3	3	17	3	17
10616	1	2	1	10	1	10
10617	3	2	3	4	3	4
10618	3	2	4	12	3	12
10619	2	2	3	5	2	5
10620	1	1	3	4	2	4
10621	3	3	2	3	3	3
10622	2	2	2	2	2	2
10623	4	2	4	9	3	9
10624	2	3	2	1	2	1
10625	3	2	3	3	2	3
10626	1	2	1	1	1	1
10627	3	2	4	2	2	2
10628	2	2	2	2	2	2
10629	2	2	2	1	2	1
10630	4	2	4	8	3	8
10631	3	2	2	2	3	2
10632	4	2	3	1	3	1
10633	2	2	2	1	2	1
10634	4	2	4	7	3	7
10635	2	2	2	1	2	1
10636	4	2	4	6	4	6
10637	4	3	4	5	4	5
10638	3	3	2	3	3	3
10639	4	4	2	1	3	1
10640	3	2	4	2	3	2
10641	4	4	2	1	3	1
10642	2	3	2	32	3	32
10643	3	3	2	31	3	31
10644	3	3	2	13	3	13
10645	2	3	2	17	3	17
